Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
Diana Krall,Jingle Bells,,125,1,4,"447,116","1,317,474"
Post Malone,Socialite,,153,1,1,"1,316,652","1,316,652"
SEVENTEEN,MAESTRO,,196,1,1,"1,316,549","1,316,549"
Mac Miller,Stoned,,193,1,1,"1,316,508","1,316,508"
Eladio Carrion,H.I.M.,,182,1,1,"1,315,439","1,315,439"
Mora,MODELITO,,127,1,1,"1,315,421","1,315,421"
Gunna,back to the moon,,147,1,1,"1,314,403","1,314,403"
Miley Cyrus,Wildcard,,138,1,1,"1,313,256","1,313,256"
Deftones,infinite source,,154,1,1,"1,312,873","1,312,873"
One Direction,Illusion,,119,1,8,"203,526","1,312,565"
6LACK,East Atlanta Love Letter,,139,1,2,"751,407","1,312,441"
Stray Kids,Cover Me,,155,1,1,"1,311,824","1,311,824"
Morgan Wallen,Days That End In Why,,151,1,1,"1,311,686","1,311,686"
Luciano,West Connect,,89,1,1,"1,311,450","1,311,450"
Eladio Carrion,Peso a Peso,,145,1,1,"1,311,145","1,311,145"
Duki,Remember Me,,153,1,1,"1,310,956","1,310,956"
Junior H,MIÉNTELE,,167,1,1,"1,310,763","1,310,763"
Kesha,Woman,,99,1,2,"789,509","1,309,959"
Trueno,Sangría,,186,1,2,"659,343","1,309,697"
Future,You Da Baddest,,178,1,3,"448,041","1,309,650"
Juice WRLD,Eminem Speaks,,96,1,1,"1,309,118","1,309,118"
Tedua,Hoe,,161,1,1,"1,307,964","1,307,964"
Sleep Token,Infinite Baths,,189,1,1,"1,307,867","1,307,867"
Agust D,Interlude : Dawn,,154,1,1,"1,307,810","1,307,810"
Feid,GANGSTERS Y PISTOLAS,,148,1,1,"1,307,672","1,307,672"
Stray Kids,DLC,,163,1,1,"1,307,311","1,307,311"
Mora,EN LA ORILLA,,128,1,1,"1,307,134","1,307,134"
Frank Ocean,Nights,,168,1,4,"358,829","1,306,779"
Yeat,Morë,,183,1,1,"1,306,471","1,306,471"
Tina Turner,We Don't Need Another Hero (Thunderdome),,143,1,1,"1,305,151","1,305,151"
Eladio Carrion,La Canción Feliz Del Disco,,167,1,1,"1,305,016","1,305,016"
Lyrical Lemonade,Doomsday,,160,1,1,"1,304,949","1,304,949"
Zach Bryan,Bowery,,160,1,1,"1,304,277","1,304,277"
Coldplay,A L I E N S,,108,1,2,"688,054","1,303,362"
Melanie Martinez,THE CONTORTIONIST,,142,1,1,"1,302,805","1,302,805"
Lil Uzi Vert,Pretty Mami,,116,1,2,"763,350","1,302,277"
David Guetta,Beautiful People,,181,1,1,"1,301,986","1,301,986"
Future,Amazing (Interlude),,190,1,1,"1,301,920","1,301,920"
Shakira,Hips Don't Lie - Spotify Anniversary Version,,179,1,1,"1,301,197","1,301,197"
Joji,YEAH RIGHT,,154,1,2,"727,960","1,301,118"
Felipe Amorim,Nossas Fotos,,183,1,1,"1,300,309","1,300,309"
Addison Rae,Times Like These,,161,1,1,"1,299,767","1,299,767"
Juliette,Diferença Mara,,94,1,1,"1,298,797","1,298,797"
Red Hot Chili Peppers,Scar Tissue,,200,1,1,"1,297,934","1,297,934"
Daniel Caesar,Root of all Evil,,181,1,1,"1,296,380","1,296,380"
Peso Pluma,NUEVA VIDA,,161,1,1,"1,296,327","1,296,327"
Bring Me The Horizon,Kool-Aid,,146,1,1,"1,295,924","1,295,924"
Lil Wayne,Welcome to Tha Carter,,164,1,1,"1,295,052","1,295,052"
A$AP Ferg,Jet Lag,,178,1,2,"686,002","1,295,031"
Tainy,MONSTRUO,,182,1,1,"1,293,977","1,293,977"
ROSALÍA,DESPECHÁ RMX,,139,1,1,"1,292,870","1,292,870"
Jarabe De Palo,La flaca,,162,1,2,"667,141","1,291,984"
Shawn Mendes,24 Hours,,100,1,1,"1,290,495","1,290,495"
blink-182,ANTHEM PART 3,,162,1,1,"1,289,922","1,289,922"
