Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
Dua Lipa,Kiss and Make Up,,13,1,175,"2,423,056","202,530,865"
Bad Bunny,Si Veo a Tu Mamá,12.0,6,1,141,"4,742,097","202,506,223"
Majestic,Rasputin,,35,1,160,"1,905,574","202,482,732"
Tainy,MOJABI GHOST,1.0,10,1,116,"3,734,382","202,432,809"
Bazzi,I.F.L.Y.,,44,1,220,"1,394,588","201,940,166"
Rauw Alejandro,Elegí,,53,1,200,"1,347,261","201,839,200"
Natanael Cano,Perlas Negras,,28,1,119,"2,383,166","201,683,667"
Maluma,Borro Cassette,,64,1,488,"621,184","201,672,218"
Post Malone,Take What You Want,7.0,5,1,132,"4,843,981","201,505,707"
Chappell Roan,Red Wine Supernova,,68,1,129,"1,946,109","201,492,437"
Rihanna,Lift Me Up,2.0,3,1,118,"7,605,514","201,469,976"
Ed Sheeran,Sapphire,,15,1,113,"2,881,089","201,449,637"
One Direction,Perfect,14.0,2,1,217,"2,611,830","201,390,121"
Khalid,OTW,,23,1,194,"1,884,339","201,200,444"
Nick Jonas,Close,,23,1,190,"1,730,025","201,047,486"
Taylor Swift,willow,7.0,1,1,133,"7,268,039","200,958,507"
Flo Rida,"I Don't Like It, I Love It",10.0,9,1,344,"1,339,798","200,629,707"
Shawn Mendes,Lost In Japan,,20,1,247,"2,151,292","200,351,927"
Lil Tecca,500lbs,,82,1,150,"1,711,334","200,210,410"
Bad Bunny,Andrea,,21,1,142,"4,719,701","200,153,019"
Bad Bunny,Dos Mil 16,,17,1,156,"5,637,087","200,015,120"
Charlie Puth,One Call Away,,25,1,292,"1,332,187","199,775,336"
James Arthur,Train Wreck,,52,1,200,"1,317,476","199,727,622"
Eminem,Till I Collapse,,63,1,234,"1,336,293","199,696,778"
Bella Poarch,Build a Bitch,,20,1,112,"2,925,180","199,535,779"
LISA,Rockstar,1.0,8,1,86,"5,890,735","199,455,881"
Daddy Yankee,La Rompe Corazones,,69,1,268,"947,886","199,083,204"
SZA,BMF,,16,1,95,"3,209,421","198,815,280"
Ozuna,Despeinada,,33,1,171,"1,905,368","198,779,079"
INTERWORLD,METAMORPHOSIS,,88,1,161,"1,453,382","198,576,163"
Carlos Vives,Robarte un Beso,,61,1,241,"1,073,286","198,538,486"
Nio Garcia,AM,,12,1,104,"3,156,484","198,450,881"
Selena Gomez,Kill Em With Kindness,,21,1,209,"1,868,718","197,940,426"
Daddy Yankee,Adictiva,,34,1,182,"1,674,778","197,535,058"
Rihanna,Bitch Better Have My Money,,16,1,391,"2,273,612","197,528,269"
Bryson Tiller,Don't,,36,1,382,"936,320","197,453,110"
Bad Bunny,A Tu Merced,,39,1,202,"2,314,387","196,946,473"
Deorro,Five More Hours - Deorro x Chris Brown,,16,1,348,"1,196,884","196,927,212"
Kali Uchis,Igual Que Un Ángel,6.0,8,1,77,"4,326,494","196,815,650"
SHAED,Trampoline,,18,1,152,"2,224,704","196,726,572"
AURORA,Runaway,,16,1,144,"2,631,344","196,525,293"
Sia,The Greatest,42.0,5,1,136,"3,169,154","196,281,228"
Billie Eilish,all the good girls go to hell,4.0,6,1,210,"4,044,926","196,278,116"
Taylor Swift,Elizabeth Taylor,22.0,2,1,38,"23,974,787","196,218,076"
Anuel AA,Hasta Que Dios Diga,,23,1,172,"2,063,467","196,213,717"
Baby Keem,family ties,,22,1,178,"2,575,820","196,158,420"
Juice WRLD,Righteous,2.0,7,1,155,"4,139,236","196,094,485"
wifiskeleton,Nope your too late i already died,,70,1,142,"1,688,589","194,806,812"
Fuerza Regida,NEL,,39,1,106,"2,367,134","194,553,147"
Sabrina Carpenter,Busy Woman,,11,1,106,"5,275,495","194,538,833"
Marc Seguí,Tiroteo - Remix,,47,1,175,"1,574,978","194,531,250"
JHAYCO,Ley Seca,,42,1,179,"1,799,830","194,507,005"
Tate McRae,she's all i wanna be,,28,1,168,"2,015,034","194,438,124"
Daddy Yankee,X ÚLTIMA VEZ,1.0,8,1,142,"3,113,298","194,182,851"
Alex Sensation,Que Va,,47,1,226,"1,261,559","193,974,298"
Travis Scott,STARGAZING,8.0,2,1,164,"7,138,624","193,327,090"
King,Maan Meri Jaan,,25,1,118,"2,163,734","192,967,478"
Chris Jedi,La Llevo Al Cielo (Ft. Ñengo Flow),,50,1,149,"1,634,067","192,545,807"
Gucci Mane,I Get The Bag,,42,1,225,"1,459,804","192,453,170"
AC/DC,Highway to Hell,,53,1,154,"1,927,510","192,392,737"
Daya,Hide Away,,31,1,305,"1,385,124","192,275,038"
Major Lazer,Know No Better,,28,1,152,"1,886,306","192,240,853"
"Tyler, The Creator",EARFQUAKE,13.0,5,1,153,"3,609,474","192,075,369"
Troye Sivan,YOUTH,,34,1,288,"1,159,781","191,892,520"
Piso 21,Me Llamas,,80,1,309,"811,886","191,848,308"
Aya Nakamura,Djadja,,33,1,154,"1,896,457","191,174,505"
Travis Scott,MELTDOWN,11.0,2,1,88,"9,508,572","190,885,615"
Alessia Cara,Here,,20,1,303,"1,171,507","190,744,732"
Billie Eilish,i love you,,19,1,236,"2,642,970","190,095,710"
Keala Settle,This Is Me,,26,1,199,"1,839,101","190,025,856"
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,,14,1,342,"1,545,106","189,536,489"
Jerry Di,Mi Cuarto,,43,1,174,"1,618,560","189,510,303"
Ed Sheeran,Eyes Closed,,18,1,117,"3,095,483","189,442,237"
Megan Thee Stallion,Savage,,15,1,141,"2,514,757","189,408,009"
Sam Smith,Have Yourself A Merry Little Christmas,,16,1,185,"3,993,757","189,215,105"
David Guetta,Like I Do,,24,1,161,"2,173,814","189,171,899"
The Weeknd,After Hours,11.0,4,1,123,"5,999,269","188,920,169"
HVME,Goosebumps,,26,1,172,"2,073,656","188,821,386"
BLACKPINK,Kill This Love,7.0,4,1,145,"4,003,909","188,202,751"
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,4.0,4,1,203,"4,160,770","188,153,511"
Bad Bunny,Dakiti,28.0,1,24,28,"8,118,121","187,932,142"
Famous Dex,PICK IT UP,,53,1,227,"1,167,527","187,824,825"
Rauw Alejandro,Tattoo,,41,1,167,"1,509,149","187,779,742"
BØRNS,Electric Love,,60,1,245,"1,264,288","187,558,590"
Sebastian Yatra,Traicionera,,63,1,336,"825,696","187,379,328"
Snakehips,All My Friends,,31,1,272,"1,153,692","187,260,737"
Major Lazer,Run Up,,16,1,148,"2,146,444","187,187,857"
Mariah Carey,Christmas (Baby Please Come Home),,31,1,129,"4,944,552","187,154,434"
Bad Bunny,EL CLúB,1.0,10,1,82,"4,652,903","187,090,548"
Ed Sheeran,Don't,,13,1,388,"873,332","186,860,058"
Zara Larsson,Ruin My Life,,26,1,161,"1,850,552","186,781,512"
JISOO,FLOWER,2.0,6,1,91,"4,674,337","186,611,270"
Camila Cabello,Crying in the Club,,30,1,165,"1,813,578","186,509,810"
Sky Rompiendo,El Cielo,,15,1,110,"2,870,426","186,381,346"
YNW Melly,Suicidal,,23,1,148,"2,181,193","186,151,920"
Bad Bunny,Yo No Soy Celoso,1.0,10,1,122,"6,728,646","185,622,214"
KAROL G,GATÚBELA,,28,1,131,"2,183,691","185,507,648"
Marshmello,One Thing Right,,26,1,168,"2,058,847","185,504,454"
Lizzy McAlpine,ceilings,,28,1,110,"2,414,688","185,375,212"
Los Dareyes De La Sierra,Frecuencia,,42,1,112,"2,111,094","185,227,555"
Ed Sheeran,Cross Me,3.0,7,1,115,"3,284,601","185,084,170"
Justin Timberlake,Say Something,,21,1,143,"1,937,314","184,992,257"
Pop Smoke,Hello,,81,1,212,"1,151,809","184,962,025"
Lil Durk,All My Life,,14,1,105,"3,353,981","184,952,632"
Rochy RD,Ella No Es Tuya - Remix,,21,1,130,"2,432,034","184,944,994"
Zion & Lennox,Yo Voy,,52,1,178,"1,333,110","184,898,784"
Kodak Black,Tunnel Vision,,37,1,221,"1,577,385","184,873,540"
Bruno Mars,Smokin Out The Window,8.0,6,1,112,"4,468,749","184,842,709"
Zac Efron,Rewrite The Stars,,18,1,184,"2,082,501","184,731,168"
Marília Mendonça,Leão,,28,1,117,"2,465,980","184,577,943"
Laufey,From The Start,,80,1,141,"1,587,677","184,306,105"
Rihanna,Love On The Brain,,26,1,287,"2,504,010","184,290,776"
Sam Feldt,Post Malone,,57,1,196,"1,341,613","184,153,377"
Young Cister,QLOO*,,28,1,104,"2,715,124","184,147,872"
French Montana,No Stylist,,23,1,172,"1,958,445","183,799,468"
Sam Smith,Too Good At Goodbyes - Edit,54.0,1,4,54,"4,489,244","183,582,476"
LE SSERAFIM,ANTIFRAGILE,,50,1,138,"1,608,367","183,319,876"
SZA,Low,,17,1,121,"3,706,158","183,055,508"
Taylor Swift,Who’s Afraid of Little Old Me?,2.0,9,1,68,"12,966,995","182,822,331"
Alesso,Heroes (we could be),3.0,9,1,353,"1,132,045","182,437,793"
Calle 24,SUIZA,,47,1,122,"2,011,459","182,376,908"
JHAYCO,Holanda,,27,1,102,"2,503,798","182,142,562"
Migos,T-Shirt,,37,1,238,"1,439,911","181,910,520"
Pink Sweat$,At My Worst,,66,1,191,"1,221,202","181,892,677"
Ed Sheeran,I See Fire,,30,1,505,"710,642","181,292,751"
Sia,Thunderclouds,,30,1,181,"1,758,895","181,272,332"
Sam Smith,Like I Can,,18,1,352,"1,543,015","181,242,697"
Creepy Nuts,Bling-Bang-Bang-Born,,52,1,107,"1,974,947","181,152,146"
Sabrina Carpenter,When Did You Get Hot?,1.0,9,1,73,"4,944,151","180,951,725"
Lauv,"fuck, i'm lonely",,26,1,148,"1,853,049","180,679,246"
ThxSoMch,SPIT IN MY FACE!,,60,1,139,"1,763,748","180,420,611"
LISA,Moonlit Floor,1.0,9,1,68,"4,482,210","180,419,690"
Kapo,Ohnana,,37,1,100,"2,484,648","180,253,913"
Gunna,one of wun,,49,1,121,"2,307,885","179,900,163"
BENNETT,Vois sur ton chemin - Techno Mix,,65,1,134,"1,890,818","179,262,449"
Tove Lo,Cool Girl,,24,1,160,"1,688,194","179,251,344"
Beéle,si te pillara,,69,1,118,"1,854,962","179,149,299"
Frank Sinatra,Jingle Bells - Remastered 1999,,25,1,101,"5,852,329","178,998,649"
Jay Rock,King's Dead,,26,1,168,"1,941,776","178,977,562"
Neton Vega,M&M,,53,1,111,"2,087,878","178,937,448"
Joel Corry,OUT OUT,,40,1,157,"1,707,857","178,913,639"
Grupo Menos É Mais,P do Pecado - Ao Vivo,,32,1,121,"2,223,431","178,452,308"
Kanye West,Praise God,2.0,7,1,158,"5,363,987","178,373,918"
Rauw Alejandro,PUNTO 40,,42,1,122,"2,213,400","178,361,163"
Tiago PZK,Entre Nosotros,,31,1,144,"1,959,905","177,801,345"
Drake,Portland,6.0,3,1,167,"3,967,179","177,780,262"
DENNIS,Tá OK,,25,1,104,"2,572,867","177,616,083"
Charli xcx,360,,36,1,106,"2,658,446","177,578,710"
Migos,MotorSport,,30,1,175,"1,756,307","177,505,897"
Fuerza Regida,TÚ NAME,,50,1,106,"2,254,587","177,431,727"
J Balvin,Sigo Extrañándote,,66,1,240,"1,047,876","176,959,602"
Halsey,Graveyard,,25,1,146,"2,312,853","176,927,942"
Flo Milli,Never Lose Me,,23,1,89,"2,836,943","176,822,999"
ROSÉ,toxic till the end,,24,1,98,"3,837,354","176,590,715"
Taylor Swift,"You're On Your Own, Kid",9.0,5,1,72,"12,842,734","176,533,638"
Kygo,Lose Somebody,,30,1,158,"1,992,542","176,437,808"
Hailee Steinfeld,Most Girls,,48,1,211,"1,323,404","176,407,937"
Taylor Swift,Father Figure,20.0,4,1,38,"21,802,376","176,293,943"
David Guetta,Dangerous,78.0,1,2,259,"1,501,748","176,226,383"
SZA,30 For 30,,28,1,98,"3,446,606","176,036,167"
Bad Bunny,Me Fui de Vacaciones,,12,1,121,"5,804,487","175,931,050"
Sia,The Greatest,28.0,5,1,95,"3,087,684","175,863,657"
OneRepublic,Run,,54,1,159,"1,425,463","175,482,849"
DJ Khaled,GREECE,,18,1,129,"2,358,568","175,370,169"
Xavi,Corazón de Piedra,,19,1,85,"3,173,749","175,081,549"
Måneskin,ZITTI E BUONI,2.0,9,1,104,"4,238,506","175,040,204"
Lizzo,Good As Hell,,24,1,167,"2,052,552","174,508,951"
Drake,I'm Upset,5.0,6,1,118,"6,528,547","174,456,788"
JP Cooper,September Song,,52,1,250,"1,249,375","174,214,970"
Taylor Swift,"So Long, London",7.0,4,1,55,"17,176,465","174,205,256"
Sabrina Carpenter,Good Graces,2.0,9,1,87,"4,665,511","174,137,392"
Shakira,Clandestino,,34,1,170,"1,589,920","174,001,357"
Nathan Evans,Wellerman - 220 KID x Billen Ted Remix,,29,1,136,"2,015,631","173,756,236"
Camila Cabello,Don't Go Yet,,28,1,127,"2,011,134","173,523,756"
Alex Warren,Eternity,1.0,6,1,98,"4,426,828","173,495,321"
Empire Of The Sun,We Are The People,,89,1,128,"1,652,621","173,387,757"
Anirudh Ravichander,Chaleya,,17,1,96,"2,677,970","173,340,958"
Tito Double P,POR SUS BESOS,,22,1,106,"2,816,284","173,277,560"
The Chainsmokers,Sick Boy,,13,1,118,"2,404,647","173,178,021"
TINI,Cupido,,41,1,111,"2,169,309","172,798,424"
Ingratax,París,,24,1,122,"2,165,914","172,194,282"
Coldplay,Christmas Lights,,23,1,161,"4,498,005","172,098,484"
A Boogie Wit da Hoodie,Drowning,,83,1,260,"855,854","171,775,553"
Jonas Brothers,What A Man Gotta Do,,24,1,149,"2,370,330","171,624,554"
Chappell Roan,The Subway,13.0,1,1,71,"8,351,763","171,612,720"
Lil Xan,Betrayed,,52,1,205,"1,145,205","171,340,986"
Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",,19,1,167,"2,030,230","171,297,261"
Cardi B,Money,,28,1,168,"1,938,570","170,983,592"
Jon Bellion,All Time Low,,29,1,172,"1,743,140","170,967,031"
Marc E. Bassy,You & Me,,33,1,193,"1,453,236","170,487,787"
Alessia Cara,Wild Things,,33,1,207,"1,296,942","170,336,484"
Justin Bieber,Company,,16,1,347,"1,393,094","170,178,243"
Alan Walker,On My Way,,37,1,158,"1,619,899","170,060,450"
Charli xcx,Apple,,27,1,87,"2,730,162","169,987,351"
Kanye West,Famous,,15,1,264,"1,959,257","169,738,859"
Gesaffelstein,Lost in the Fire,,12,1,158,"2,637,793","169,406,052"
Kodak Black,Roll In Peace,,33,1,238,"1,973,108","169,364,932"
Danny Ocean,Dembow,,59,1,206,"1,181,095","169,363,895"
The Jackson 5,Santa Claus Is Coming To Town,,26,1,124,"4,807,124","169,157,128"
Rag'n'Bone Man,Human,,51,1,252,"1,051,681","169,100,403"
Meghan Trainor,NO,,17,1,189,"1,904,752","168,983,630"
Luis Fonsi,Imposible,,54,1,166,"1,291,304","168,910,719"
Nicky Jam,Whine Up,,41,1,142,"1,601,092","168,596,581"
Rauw Alejandro,DILUVIO,,58,1,116,"1,849,145","168,484,449"
Ariana Grande,Love Me Harder,52.0,6,1,288,"1,113,607","168,463,797"
Reik,Indeciso,,55,1,175,"1,276,599","167,935,571"
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,,25,1,123,"4,656,618","167,572,431"
Julión Álvarez y su Norteño Banda,Regalo De Dios,,76,1,119,"1,735,545","167,438,105"
Zedd,Happy Now,,27,1,151,"1,849,211","167,310,317"
Shawn Mendes,I Know What You Did Last Summer,,21,1,213,"1,319,558","167,135,413"
Daddy Yankee,Que Tire Pa Lante,,19,1,141,"1,919,499","167,106,271"
KYLE,Playinwitme,,26,1,145,"1,822,546","167,055,615"
Hailee Steinfeld,Love Myself,,22,1,272,"1,101,700","166,923,043"
Flume,Say It,,51,1,244,"994,926","166,906,514"
Joey Montana,Suena El Dembow,,59,1,210,"1,085,385","166,892,395"
OneRepublic,Wherever I Go,,37,1,189,"1,375,046","166,869,544"
Billie Eilish,Bored,,46,1,176,"1,494,084","166,611,285"
Megan Thee Stallion,Sweetest Pie,,13,1,154,"2,431,789","166,381,319"
Galantis,Heartbreak Anthem,,46,1,140,"1,675,597","166,126,723"
Jason Derulo,Tip Toe,,44,1,171,"1,501,643","165,947,243"
Chance the Rapper,No Problem,,55,1,342,"961,392","165,815,041"
MC PH,Let's Go 4,,59,1,120,"1,734,571","165,579,197"
Alan Walker,All Falls Down,,52,1,189,"1,211,468","164,813,768"
Sebastian Yatra,Ya No Tiene Novio,,61,1,189,"1,218,372","164,798,697"
Anggi Marito,Tak Segampang Itu,,56,1,117,"1,719,563","164,722,152"
Tyla,PUSH 2 START,,52,1,106,"2,167,817","164,717,657"
Myke Towers,Diosa,,49,1,159,"1,650,856","164,661,557"
Taylor Swift,Maroon,13.0,4,1,56,"14,422,463","164,574,320"
Fifth Harmony,All In My Head (Flex),,35,1,175,"1,430,222","164,188,386"
Feid,SORRY 4 THAT MUCH,,31,1,92,"2,709,931","164,011,956"
Bryson Tiller,Whatever She Wants,,31,1,88,"2,671,576","163,994,733"
Zara Larsson,Ain't My Fault,,22,1,152,"1,778,509","163,471,251"
Luar La L,Caile,,29,1,111,"2,222,169","163,396,513"
Rob $tone,Chill Bill,,54,1,258,"927,201","163,139,059"
Linkin Park,Heavy Is the Crown,1.0,9,1,83,"4,553,201","162,802,034"
Shouse,Love Tonight - Edit,,34,1,138,"1,838,731","162,588,216"
Rels B,cómo dormiste?,,22,1,119,"2,332,886","162,418,884"
Juice WRLD,Smile,14.0,5,1,116,"4,082,751","162,174,408"
Bazzi,Paradise,,26,1,161,"1,834,017","162,060,985"
Harry Styles,Matilda,7.0,5,1,105,"7,513,826","161,887,385"
Billie Eilish,bellyache,,55,1,210,"1,190,234","161,780,470"
John Legend,Love Me Now,,28,1,174,"1,476,855","161,460,577"
Burak Yeter,Tuesday,,53,1,203,"1,232,313","161,445,659"
Andy Grammer,Fresh Eyes,,26,1,207,"1,392,804","161,317,610"
Echosmith,Cool Kids,,13,1,305,"879,636","161,308,733"
Rae Sremmurd,Swang,,67,1,254,"941,713","161,258,860"
Imanbek,Belly Dancer,,67,1,150,"1,440,240","161,176,855"
J Balvin,Amarillo,,17,1,143,"3,411,563","160,887,101"
Calvin Harris,Blessings,,96,1,117,"1,682,627","160,688,276"
Robin Schulz,Shed a Light,,29,1,166,"1,585,611","160,646,661"
XXXTENTACION,the remedy for a broken heart (why am I so in love),1.0,7,1,190,"4,481,804","160,569,497"
Silentó,Watch Me (Whip / Nae Nae),,14,1,268,"1,195,702","160,466,761"
Kodak Black,Super Gremlin,,41,1,140,"1,621,616","160,394,308"
Eartha Kitt,Santa Baby,,30,1,105,"5,318,317","160,292,357"
Jonas Blue,By Your Side,,31,1,197,"1,463,358","160,095,685"
The Weeknd,Party Monster,8.0,5,1,161,"3,077,101","159,960,783"
Mykola Dmytrovych Leontovych,Carol of the Bells,,24,1,94,"6,882,544","159,893,505"
Paloma Faith,Only Love Can Hurt Like This,,83,1,155,"1,168,433","159,758,627"
Sech,Si Te Vas,,44,1,156,"1,445,220","159,750,379"
Gunna,pushin P,,12,1,105,"2,533,587","159,731,403"
LISA,New Woman,3.0,4,1,65,"6,007,496","159,610,542"
Sean Paul,Contra La Pared,,55,1,161,"1,330,925","159,477,301"
Billie Eilish,BLUE,,16,1,71,"5,935,478","159,436,202"
Oscar Ortiz,FIRST LOVE,,31,1,92,"2,416,170","159,302,916"
Justin Quiles,Loco,,55,1,159,"1,424,406","159,302,883"
Sean Paul,Mad Love,,33,1,164,"1,710,875","159,198,637"
Sam Smith,I'm Not The Only One,55.0,4,1,167,"1,271,206","159,028,406"
Polimá Westcoast,ULTRA SOLO,,41,1,126,"1,868,453","158,926,740"
Taylor Swift,My Boy Only Breaks His Favorite Toys,4.0,5,1,53,"17,101,904","158,725,838"
Lil Mosey,Noticed,,38,1,181,"1,535,020","158,700,921"
Ariana Grande,imagine,2.0,5,1,106,"4,298,231","158,636,596"
Playboi Carti,Magnolia,,54,1,210,"1,142,368","158,610,071"
Post Malone,Saint-Tropez,12.0,3,1,90,"6,207,837","158,601,690"
DaBaby,VIBEZ,,34,1,169,"1,797,537","158,592,157"
Benson Boone,Sorry I'm Here For Someone Else,,58,1,105,"1,977,815","158,462,579"
Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58",1.0,10,1,67,"3,704,780","158,411,609"
Fujii Kaze,Shinunoga E-Wa,,60,1,116,"1,574,595","158,294,879"
Selena Gomez,Fetish,1.0,9,1,140,"3,342,341","158,169,400"
Bad Bunny,Aguacero,,18,1,115,"5,297,911","158,162,710"
Justin Bieber,YUKON,1.0,7,1,85,"5,232,161","158,103,152"
NLE Choppa,Walk Em Down,,48,1,149,"1,430,737","158,006,460"
Billie Eilish,L’AMOUR DE MA VIE,,15,1,75,"6,235,946","157,981,879"
Anne-Marie,Alarm,,38,1,189,"1,260,433","157,791,715"
Lost Frequencies,Reality,,28,1,302,"994,273","157,736,806"
KAROL G,MIENTRAS ME CURO DEL CORA,,39,1,101,"2,233,051","157,685,650"
YNW Melly,223's,,29,1,144,"1,935,775","157,668,159"
Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,,22,1,94,"2,606,830","157,426,633"
Ndotz,Embrace It,,25,1,76,"2,756,041","156,857,697"
Robin Schulz,OK,,55,1,191,"1,168,434","156,797,919"
Lauren Spencer Smith,Fingers Crossed,1.0,10,1,116,"3,221,761","156,766,811"
Nicky Jam,Hasta el Amanecer,,50,1,301,"740,097","156,742,375"
Sech,Que Mas Pues - Remix,,65,1,174,"1,230,557","156,585,347"
Pitbull,Hey Ma,,57,1,192,"1,192,377","156,545,816"
Bad Bunny,Amorfoda,1.0,10,1,117,"2,951,316","156,414,720"
Ariana Grande,Problem,23.0,4,1,334,"1,077,458","156,135,694"
Clairo,Sofia,,44,1,148,"1,558,429","155,930,716"
LE SSERAFIM,Perfect Night,,53,1,111,"1,717,966","155,818,185"
Lorde,Green Light,,22,1,141,"2,463,451","155,740,166"
Nico & Vinz,Am I Wrong,18.0,5,1,326,"986,491","155,369,192"
Drake,Chicago Freestyle,1.0,8,1,147,"3,513,032","155,121,415"
Travis Scott,YOSEMITE,,17,1,188,"3,303,008","155,087,510"
Taylor Swift,Bejeweled,4.0,9,1,63,"10,483,302","155,030,583"
YG,Go Loko,,33,1,141,"1,637,822","155,020,998"
Tyga,Ayy Macarena,,34,1,125,"1,875,759","154,912,554"
John Lennon,Happy Xmas (War Is Over) - Remastered,6.0,7,1,129,"5,872,023","154,721,733"
Cris MJ,Después De La 1,,29,1,84,"2,599,489","154,679,613"
DripReport,Skechers,,32,1,138,"1,678,437","154,676,074"
Dua Lipa,Love Again,,49,1,152,"1,653,143","154,469,130"
Good Neighbours,Home,,56,1,95,"1,972,296","154,414,940"
Romeo Santos,Bella y Sensual,,95,1,228,"821,046","154,247,411"
James Bay,Hold Back The River,,18,1,365,"980,688","154,238,667"
The Kid LAROI,SO DONE,,40,1,135,"1,643,255","154,165,439"
Kehlani,Folded,,70,1,101,"1,781,049","154,138,202"
Ed Sheeran,Afterglow,,12,1,116,"2,368,447","154,100,045"
Harry Styles,Music For a Sushi Restaurant,6.0,3,2,94,"8,690,034","154,015,270"
Maluma,Mala Mía,,47,1,159,"1,357,943","153,889,362"
V,Slow Dancing,1.0,10,1,83,"4,743,367","153,856,062"
Jere Klein,ANDO,,81,1,115,"1,558,155","153,801,365"
NEIKED,Sexual,,37,1,206,"1,244,601","153,449,985"
Los Dareyes De La Sierra,Vita Fer,,49,1,102,"2,101,426","153,371,278"
Conan Gray,Maniac,,100,1,201,"1,000,917","153,214,331"
Ashnikko,Daisy,,44,1,140,"1,589,380","153,038,842"
J Balvin,Poblado - Remix,,31,1,119,"2,003,471","152,990,939"
Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],6.0,2,1,87,"4,887,791","152,419,296"
TWICE,Strategy,,74,1,110,"1,642,126","152,354,967"
Billie Eilish,No Time To Die,14.0,1,1,88,"7,166,720","152,297,732"
Cardi B,Bartier Cardi,,20,1,140,"1,992,722","152,268,241"
Post Malone,Ball For Me,,12,1,138,"4,295,836","152,082,540"
Meghan Trainor,Like I'm Gonna Lose You,,37,1,321,"868,055","151,996,167"
Liam Payne,For You (Fifty Shades Freed) (& Rita Ora),,24,1,133,"1,970,093","151,930,637"
Amaarae,SAD GIRLZ LUV MONEY Remix,,18,1,115,"2,355,033","151,762,387"
Cosculluela,Madura,,61,1,183,"1,131,182","151,637,831"
Kanye West,Hurricane,6.0,3,5,75,"7,750,774","151,542,438"
Lay Bankz,Tell Ur Girlfriend,,18,1,65,"3,947,554","151,451,246"
Maluma,El Préstamo,,47,1,167,"1,323,682","151,171,476"
Sebastian Yatra,Un Año,,49,1,145,"1,443,622","151,149,121"
Shakira,Perro Fiel,,40,1,156,"1,405,061","150,949,303"
Becky G,Bubalu,,63,1,159,"1,170,397","150,617,358"
Drake,Girls Want Girls,8.0,1,1,75,"12,384,750","150,440,670"
Taylor Swift,The Life of a Showgirl,11.0,6,1,38,"18,734,428","150,350,437"
Bad Gyal,Chulo pt.2,,54,1,99,"1,870,577","150,335,621"
Taylor Swift,Wi$h Li$t,15.0,7,1,38,"18,804,814","150,309,820"
Ofenbach,Head Shoulders Knees & Toes,,50,1,175,"1,660,605","150,094,648"
Beach House,Space Song,,99,1,154,"1,259,386","150,040,661"
Justin Bieber,I'll Show You,31.0,5,1,172,"2,618,236","149,861,508"
Rich Music LTD,Quizas,,50,1,146,"1,345,693","149,760,216"
HUGEL,I Adore You,,89,1,115,"1,567,360","149,729,226"
Taylor Swift,But Daddy I Love Him,4.0,6,1,51,"15,542,560","149,491,465"
Megan Thee Stallion,Mamushi,,38,1,81,"2,426,912","149,455,778"
Katy Perry,Dark Horse,,29,1,494,"1,146,006","149,346,436"
Juice WRLD,Armed And Dangerous,,35,1,153,"1,802,509","149,175,876"
Daddy Yankee,Dura - Remix,,39,1,154,"1,385,541","148,994,437"
Bad Bunny,Otro Atardecer,,20,1,119,"4,878,492","148,886,605"
George Ezra,Budapest,,37,1,430,"559,387","148,761,515"
Darell,Lollipop,,16,1,79,"3,103,853","148,688,269"
Khalid,Know Your Worth,,27,1,145,"2,091,637","148,497,236"
Ghost,Mary On A Cross,,31,1,104,"1,976,566","148,490,015"
Sebastian Yatra,VAGABUNDO,,102,1,115,"1,506,571","148,444,530"
Travis Scott,K-POP,12.0,2,1,56,"7,274,132","148,410,249"
ROSALÍA,LA FAMA,,30,1,134,"2,708,022","148,389,026"
Billie Eilish,Your Power,12.0,3,1,84,"6,239,924","148,323,766"
SZA,I Hate U,,12,1,112,"2,753,079","148,233,846"
Rae Sremmurd,Powerglide,,40,1,154,"1,531,354","148,110,062"
Milky Chance,Stolen Dance,4.0,10,1,358,"925,984","148,037,577"
J Balvin,Reggaeton,,64,1,160,"1,181,523","147,962,616"
Fuerza Regida,ANSIEDAD,,77,1,115,"1,690,155","147,398,827"
Feid,PORFA,,51,1,145,"1,325,153","147,188,393"
Israel & Rodolffo,Bombonzinho - Ao Vivo,,45,1,117,"1,917,654","147,143,643"
Big One,Un Finde | CROSSOVER #2,,64,1,112,"1,771,232","146,909,431"
Bruno Mars,It Will Rain,,58,1,98,"2,062,859","146,875,359"
Nicky Jam,Muévelo,,35,1,136,"1,744,669","146,737,599"
Lizzo,Good As Hell,,41,1,130,"1,568,572","146,659,717"
Cartel De Santa,Shorty Party,1.0,10,1,79,"3,407,912","146,644,236"
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),7.0,2,1,63,"9,731,151","146,617,529"
Xavi,Poco A Poco,,58,1,98,"1,882,425","146,596,872"
Reik,Amigos Con Derechos,,64,1,161,"1,190,407","146,464,915"
